wave,owner,batchId,priority,mappingConfidence,itemIds,sources,categoryHints,candidateBlockerCount,commands,expectedArtifacts,blockerHints,rerunCommands
1,release-infra,p0-release-env-lint-release-infra,P0,candidate,"release-env-lint-placeholders;release-env-lint-status",release-env-lint,release-environment,0,"DDD_RELEASE_ENV_FILE=<release-env-file> node scripts/ddd-release-env-file-lint.mjs;node scripts/ddd-release-config-evidence.mjs","artifacts/ddd/config/release-config-evidence.json;artifacts/ddd/release/release-env-lint.json",,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
2,ai-owner,p0-release-config-ai-owner,P0,candidate,"file owner url;iam owner url;owner internal token;platform owner url;provider api key;provider base url",release-config,release-config,0,node scripts/ddd-release-config-evidence.mjs,artifacts/ddd/config/release-config-evidence.json,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
3,payment-owner,p0-release-config-payment-owner,P0,candidate,payment public url,release-config,release-config,0,node scripts/ddd-release-config-evidence.mjs,artifacts/ddd/config/release-config-evidence.json,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
4,platform-events,p0-release-config-platform-events,P0,candidate,"event stream key;job backend url;job file url;job internal token;job message url;job payment url;job plugin url;xxl job admin;xxl job token",release-config,release-config,0,node scripts/ddd-release-config-evidence.mjs,artifacts/ddd/config/release-config-evidence.json,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
5,platform-owners,p0-release-config-platform-owners,P0,candidate,"ai service;auth service;file service;job executor;localization service;message service;payment service;plugin service;system service",release-config,release-config,0,node scripts/ddd-release-config-evidence.mjs,artifacts/ddd/config/release-config-evidence.json,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
6,release-infra,p0-release-config-release-infra,P0,candidate,"backend base url;cors origins;database password;database url;database username;field secret;frontend base url;jwt secret;redis host",release-config,release-config,0,node scripts/ddd-release-config-evidence.mjs,artifacts/ddd/config/release-config-evidence.json,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
7,release-infra,p0-docker-release-infra,P0,candidate,"docker-blocker-1;docker-blocker-2;docker-image-frontend-failed;docker-image-lumira-server-failed",docker,docker,3,"DDD_DOCKER_BUILD_STRICT=true node scripts/ddd-docker-build-evidence.mjs;node scripts/ddd-docker-build-evidence.mjs",artifacts/ddd/build/docker-image-evidence.json,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
8,release-infra,p0-runtime-readiness-release-infra,P0,candidate,"runtime-readiness-contract-1;runtime-readiness-contract-2;runtime-readiness-contract-3;runtime-readiness-contract-4",runtime-readiness,production-equivalent-runtime,11,node scripts/ddd-runtime-readiness-smoke.mjs,artifacts/ddd/readiness/summary.json,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
9,release-owner,p0-manifest-release-owner,P0,candidate,manifest-missing-no-explain-json-files-in-tmp-ddd-explain,manifest,manifest,2,"DDD_RELEASE_MANIFEST_CHECK_ENV=true node scripts/ddd-release-evidence-manifest.mjs;node scripts/ddd-promote-performance-baseline.mjs;DDD_RELEASE_MANIFEST_STRICT=true DDD_RELEASE_MANIFEST_EXIT_ON_BLOCKERS=false node scripts/ddd-release-evidence-manifest.mjs",artifacts/ddd/release/evidence-manifest.json,artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/no explain JSON files in tmp\ddd-explain,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
10,release-performance,p0-authenticated-performance-release-performance,P0,candidate,"performance-actual-shape-1;performance-actual-shape-2;performance-actual-shape-3;performance-actual-shape-4;performance-baseline-metadata-5;performance-baseline-metadata-6;performance-baseline-metadata-7;performance-baseline-metadata-8;performance-baseline-metadata-9",authenticated-performance,authenticated-performance,0,"node scripts/ddd-authenticated-performance-smoke.mjs;node scripts/ddd-promote-performance-baseline.mjs","artifacts/ddd/performance/authenticated-runtime-actual.json;artifacts/ddd/performance/authenticated-runtime-baseline-promotion.json;artifacts/ddd/performance/authenticated-runtime-baseline.json",,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
