owner,queueOrder,executionOrderHint,queueStatus,canExecute,commandCount,envKeyCount,missingArtifactCount,contentBlockerCount,stopReasonCount,cutoverItems,readyBatchIds,blockedBatchIds,closureWaves,envKeys,missingArtifacts,contentBlockers,firstCommand,rerunCommands,stopReasons
release-infra,1,1,ACTIONABLE,true,7,10,5,0,4,"deployable-images;evidence-integrity;production-equivalence;strict-release-gate","p0-docker-release-infra;p0-runtime-readiness-release-infra",p3-orchestrator-release-infra,"1;2","BASE_URL;DDD_DOCKER_BUILD_STRICT;DDD_DOCKER_COMMAND;DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DEPLOY_CHECK_BASE_URL;FRONTEND_BASE_URL;LUMIRA_BASE_URL;PLAYWRIGHT_BASE_URL","artifacts/ddd/build/docker-image-evidence.json;artifacts/ddd/readiness/summary.json;artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/readiness-summary.json;artifacts/ddd/release/release-evidence-gate.json",,DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_LIST_BATCHES=1 bash artifacts/ddd/release/release-execution-commands.sh,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","cutover checklist blocked: deployable-images;cutover checklist blocked: evidence-integrity;cutover checklist blocked: production-equivalence;cutover checklist blocked: strict-release-gate"
database,2,3,ACTIONABLE,true,9,16,6,2,6,"database-performance;evidence-integrity;strict-release-gate",p0-manifest-database,"p2-explain-database;p3-orchestrator-database",3,"DDD_EVIDENCE_OPERATOR;DDD_EXPLAIN_DATABASE;DDD_EXPLAIN_DIR;DDD_EXPLAIN_ENVIRONMENT;DDD_EXPLAIN_STRICT;DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_VALIDATED;DDD_RELEASE_CANDIDATE;MYSQL_CLI;MYSQL_DATABASE;MYSQL_HOST;MYSQL_PASSWORD;MYSQL_PORT;MYSQL_USER","artifacts/ddd/release/evidence-manifest.json;artifacts/ddd/release/explain-gate-report.json;artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/readiness-summary.json;artifacts/ddd/release/release-evidence-gate.json;tmp/ddd-explain/*.json","artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: handoffReferences migration-evidence-handoff command must be DDD_MIGRATION_CHECK_ENV=true node bin/ddd-migration-evidence.mjs;artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: markdown evidence handoffs must include required command for migration-evidence-handoff",DDD_RELEASE_MANIFEST_CHECK_ENV=true node bin/ddd-release-evidence-manifest.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","closure wave 3 CONTENT_BLOCKED;closure wave 3 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: handoffReferences migration-evidence-handoff command must be DDD_MIGRATION_CHECK_ENV=true node bin/ddd-migration-evidence.mjs;closure wave 3 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: markdown evidence handoffs must include required command for migration-evidence-handoff;cutover checklist blocked: database-performance;cutover checklist blocked: evidence-integrity;cutover checklist blocked: strict-release-gate"
lumira-ui,3,4,ACTIONABLE,true,5,4,4,0,3,"evidence-integrity;strict-release-gate",p0-manifest-lumira-ui,,4,"DDD_EVIDENCE_ENVIRONMENT;DDD_FRONTEND_EXPECT_DEPLOYED;DDD_RELEASE_CANDIDATE;PLAYWRIGHT_BASE_URL","artifacts/ddd/lumira-ui/frontend-smoke.json;artifacts/ddd/lumira-ui/lumira-ui-build-evidence.json;artifacts/ddd/lumira-ui/lumira-ui-static-evidence.json;artifacts/ddd/release/evidence-manifest.json",,DDD_RELEASE_MANIFEST_CHECK_ENV=true node bin/ddd-release-evidence-manifest.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","closure wave 4 ARTIFACT_MISSING;cutover checklist blocked: evidence-integrity;cutover checklist blocked: strict-release-gate"
release-owner,4,5,ACTIONABLE,true,7,5,4,7,10,"evidence-integrity;strict-release-gate",p0-manifest-release-owner,p3-orchestrator-release-owner,5,"DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_RELEASE_EVIDENCE_STRICT;DDD_RELEASE_MANIFEST_STRICT","artifacts/ddd/release/evidence-manifest.json;artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/readiness-summary.json;artifacts/ddd/release/release-evidence-gate.json","artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: finalOwnerQueueFastPath.commands must include readiness summary refresh;artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: handoffReferences release-env-owner-input-packet command must be node bin/ddd-release-env-owner-input-packet-contract.mjs;artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: handoffReferences release-owner-input-receipt command must be node bin/ddd-release-owner-input-receipt-contract.mjs;artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: handoffReferences rollback-deferral-owner-handoff command must be node bin/ddd-rollback-deferral-template.mjs;artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: markdown evidence handoffs must include required command for release-env-owner-input-packet;artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: markdown evidence handoffs must include required command for release-owner-input-receipt;artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: markdown evidence handoffs must include required command for rollback-deferral-owner-handoff",DDD_RELEASE_MANIFEST_CHECK_ENV=true node bin/ddd-release-evidence-manifest.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","closure wave 5 CONTENT_BLOCKED;closure wave 5 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: finalOwnerQueueFastPath.commands must include readiness summary refresh;closure wave 5 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: handoffReferences release-env-owner-input-packet command must be node bin/ddd-release-env-owner-input-packet-contract.mjs;closure wave 5 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: handoffReferences release-owner-input-receipt command must be node bin/ddd-release-owner-input-receipt-contract.mjs;closure wave 5 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: handoffReferences rollback-deferral-owner-handoff command must be node bin/ddd-rollback-deferral-template.mjs;closure wave 5 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: markdown evidence handoffs must include required command for release-env-owner-input-packet;closure wave 5 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: markdown evidence handoffs must include required command for release-owner-input-receipt;closure wave 5 blocker hint: artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/optional artifact release/release-unblock-brief.json: markdown evidence handoffs must include required command for rollback-deferral-owner-handoff;cutover checklist blocked: evidence-integrity;cutover checklist blocked: strict-release-gate"
release-performance,5,6,ACTIONABLE,true,9,12,3,0,12,"production-equivalence;strict-release-gate",p0-authenticated-performance-release-performance,,6,"BASE_URL;DDD_AUTH_PASSWORD;DDD_AUTH_PERF_BASELINE_ACCEPTED_BY;DDD_AUTH_PERF_BASELINE_ENVIRONMENT;DDD_AUTH_PERF_BASELINE_SOURCE_ARTIFACT;DDD_AUTH_PERF_DEPLOYMENT_EVIDENCE;DDD_AUTH_PERF_ENVIRONMENT;DDD_AUTH_USERNAME;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DEPLOY_CHECK_BASE_URL;LUMIRA_BASE_URL","artifacts/ddd/performance/authenticated-runtime-actual.json;artifacts/ddd/performance/authenticated-runtime-baseline-promotion.json;artifacts/ddd/performance/authenticated-runtime-baseline.json",,node bin/ddd-authenticated-performance-smoke.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","acceptedAt must be an ISO timestamp;acceptedBy is required;authenticated performance actual productionEquivalence.deploymentEvidence is required;authenticated performance actual productionEquivalence.https must be true for strict release evidence;authenticated performance actual productionEquivalence.localOnly must be false for strict release evidence;authenticated performance actual productionEquivalence.strict must be true for strict release evidence;authenticated performance baseline not ready: BLOCKED;cutover checklist blocked: production-equivalence;cutover checklist blocked: strict-release-gate;sourceArtifact is required;sourceSha256 must be a SHA-256 hex digest;strict release baseline requires baselineType=authenticated-runtime"
ai,6,,WAITING,false,1,12,1,0,2,"runtime-business-acceptance;strict-release-gate",,p1-ai-runtime-ai,,"BASE_URL;DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE;DDD_AI_EXPECT_PROVIDER_REMOTE;DEPLOY_CHECK_BASE_URL;LUMIRA_AI_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL;LUMIRA_AI_PROVIDER;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_BASE_URL",artifacts/ddd/ai/ai-runtime-drill.json,,node bin/ddd-ai-runtime-drill.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","cutover checklist blocked: runtime-business-acceptance;cutover checklist blocked: strict-release-gate"
ai-owner,7,,WAITING,false,3,8,1,0,2,"rollback-safety;strict-release-gate",,p1-rollback-ai-owner,,"DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,,node bin/ddd-rollback-deferral-template.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","cutover checklist blocked: rollback-safety;cutover checklist blocked: strict-release-gate"
auth-owner,8,,WAITING,false,3,8,1,0,2,"rollback-safety;strict-release-gate",,p1-rollback-auth-owner,,"DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,,node bin/ddd-rollback-deferral-template.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","cutover checklist blocked: rollback-safety;cutover checklist blocked: strict-release-gate"
file-owner,9,,WAITING,false,4,14,2,0,3,"rollback-safety;runtime-business-acceptance;strict-release-gate",,"p1-business-e2e-file-owner;p1-rollback-file-owner",,"BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT;DEPLOY_CHECK_BASE_URL;LUMIRA_BASE_URL;LUMIRA_JOB_INTERNAL_TOKEN;LUMIRA_UPLOAD_STORAGE_ROOT","artifacts/ddd/file/file-processing-e2e.json;artifacts/ddd/rollback/rollback-drill.json",,node bin/ddd-file-processing-e2e-smoke.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","cutover checklist blocked: rollback-safety;cutover checklist blocked: runtime-business-acceptance;cutover checklist blocked: strict-release-gate"
iam-owner,10,,WAITING,false,3,8,1,0,2,"rollback-safety;strict-release-gate",,p1-rollback-iam-owner,,"DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,,node bin/ddd-rollback-deferral-template.mjs,"DDD_FINAL_GO_NO_GO_ENFORCE=1 bash artifacts/ddd/release/release-final-go-no-go-gate.sh;bash artifacts/ddd/release/release-artifact-integrity-gate.sh;bash artifacts/ddd/release/release-preflight-gate.sh;node bin/ddd-release-evidence-gate.mjs;node bin/ddd-release-readiness-summary.mjs","cutover checklist blocked: rollback-safety;cutover checklist blocked: strict-release-gate"
