recommendation,noAutoWaivers,priority,status,owner,source,batchId,pendingItems,dependsOn,unmetDependencies,lanes,cutoverChecklistIds,commands,expectedArtifacts,envCheckGroups,exitCriteria,itemIds
NO_GO_STRICT,true,P0,READY,release-infra,docker,p0-docker-release-infra,4,,,deployable-image,deployable-images,"DDD_DOCKER_BUILD_STRICT=true node scripts/ddd-docker-build-evidence.mjs;node scripts/ddd-docker-build-evidence.mjs",artifacts/ddd/build/docker-image-evidence.json,"DDD_DOCKER_BUILD_STRICT=DDD_DOCKER_BUILD_STRICT;DDD_DOCKER_COMMAND=DDD_DOCKER_COMMAND","Docker CLI and daemon are available in the evidence runner.;Required lumira-server and frontend images are built, inspected, and not skipped.;Clear this batch before running downstream runtime-heavy evidence.","docker-blocker-1;docker-blocker-2;docker-image-frontend-failed;docker-image-lumira-server-failed"
NO_GO_STRICT,true,P0,READY,release-infra,runtime-readiness,p0-runtime-readiness-release-infra,4,,,production-equivalence,production-equivalence,node scripts/ddd-runtime-readiness-smoke.mjs,artifacts/ddd/readiness/summary.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL=DEPLOY_CHECK_BASE_URL|LUMIRA_BASE_URL","Runtime readiness is generated from an HTTPS non-local backend base URL.;All 30 owner readiness/health/metrics checks pass.;Clear this batch before running downstream runtime-heavy evidence.","runtime-readiness-contract-1;runtime-readiness-contract-2;runtime-readiness-contract-3;runtime-readiness-contract-4"
NO_GO_STRICT,true,P0,READY,release-owner,manifest,p0-manifest-release-owner,1,,,evidence-integrity,evidence-integrity,"DDD_RELEASE_MANIFEST_CHECK_ENV=true node scripts/ddd-release-evidence-manifest.mjs;node scripts/ddd-promote-performance-baseline.mjs;DDD_RELEASE_MANIFEST_STRICT=true DDD_RELEASE_MANIFEST_EXIT_ON_BLOCKERS=false node scripts/ddd-release-evidence-manifest.mjs",artifacts/ddd/release/evidence-manifest.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_RELEASE_MANIFEST_STRICT=DDD_RELEASE_MANIFEST_STRICT","All required release evidence artifacts are present and checksummed.;Clear this batch before running downstream runtime-heavy evidence.",manifest-missing-no-explain-json-files-in-tmp-ddd-explain
NO_GO_STRICT,true,P0,READY,release-performance,authenticated-performance,p0-authenticated-performance-release-performance,9,,,performance,production-equivalence,"node scripts/ddd-authenticated-performance-smoke.mjs;node scripts/ddd-promote-performance-baseline.mjs","artifacts/ddd/performance/authenticated-runtime-actual.json;artifacts/ddd/performance/authenticated-runtime-baseline.json;artifacts/ddd/performance/authenticated-runtime-baseline-promotion.json","DDD_AUTH_PERF_BASELINE_ACCEPTED_BY=DDD_AUTH_PERF_BASELINE_ACCEPTED_BY;DDD_AUTH_PERF_BASELINE_ENVIRONMENT=DDD_AUTH_PERF_BASELINE_ENVIRONMENT;DDD_AUTH_PERF_BASELINE_SOURCE_ARTIFACT=DDD_AUTH_PERF_BASELINE_SOURCE_ARTIFACT;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE","Authenticated performance actual is generated from a production-equivalent HTTPS backend.;Accepted baseline exists and current p95/upload metrics do not regress beyond the configured threshold.;Clear this batch before running downstream runtime-heavy evidence.","performance-actual-shape-1;performance-actual-shape-2;performance-actual-shape-3;performance-actual-shape-4;performance-baseline-metadata-5;performance-baseline-metadata-6;performance-baseline-metadata-7;performance-baseline-metadata-8;performance-baseline-metadata-9"
NO_GO_STRICT,true,P1,BLOCKED,ai,ai-runtime,p1-ai-runtime-ai,3,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance",,runtime-acceptance,runtime-business-acceptance,node scripts/ddd-ai-runtime-drill.mjs,artifacts/ddd/ai/ai-runtime-drill.json,"BASE_URL=BASE_URL;DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE=DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE;DDD_AI_EXPECT_PROVIDER_REMOTE=DDD_AI_EXPECT_PROVIDER_REMOTE;LUMIRA_BASE_URL=DEPLOY_CHECK_BASE_URL|LUMIRA_BASE_URL;AI_SERVICE_BASE_URL=AI_SERVICE_BASE_URL|LUMIRA_AI_BASE_URL|LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL=LUMIRA_AI_OWNER_FILE_BASE_URL|LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL=LUMIRA_AI_OWNER_IAM_BASE_URL|LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL=LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL|LUMIRA_AI_OWNER_PLATFORM_BASE_URL;LUMIRA_AI_PROVIDER=LUMIRA_AI_PROVIDER;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY=LUMIRA_AI_PROVIDER_API_KEY|LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL=LUMIRA_AI_PROVIDER_BASE_URL|LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL","AI runtime drill uses HTTPS non-local base URL with remote provider and owner gateway expectations enabled.;Provider is not local fallback and owner gateway has configured owner integrations.","ai-owner-gateway;ai-provider-runtime;ai-runtime-base-url"
NO_GO_STRICT,true,P1,BLOCKED,ai-owner,rollback,p1-rollback-ai-owner,1,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,AI
NO_GO_STRICT,true,P1,BLOCKED,auth-owner,rollback,p1-rollback-auth-owner,1,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Auth
NO_GO_STRICT,true,P1,BLOCKED,file-owner,business-e2e,p1-business-e2e-file-owner,1,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance",,business-acceptance,runtime-business-acceptance,node scripts/ddd-file-processing-e2e-smoke.mjs,artifacts/ddd/file/file-processing-e2e.json,"BASE_URL=BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE=DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;LUMIRA_BASE_URL=DEPLOY_CHECK_BASE_URL|LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN=DDD_JOB_INTERNAL_TOKEN|LUMIRA_JOB_INTERNAL_TOKEN|SAAS_JOB_INTERNAL_TOKEN;UPLOAD_STORAGE_ROOT=LUMIRA_UPLOAD_STORAGE_ROOT|UPLOAD_STORAGE_ROOT","File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata.",file-processing-production-equivalence
NO_GO_STRICT,true,P1,BLOCKED,file-owner,rollback,p1-rollback-file-owner,1,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,File
NO_GO_STRICT,true,P1,BLOCKED,frontend,frontend-smoke,p1-frontend-smoke-frontend,1,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance",,frontend-acceptance,runtime-business-acceptance,"node scripts/ddd-frontend-playwright-smoke.mjs;node scripts/ddd-frontend-smoke-evidence.mjs","artifacts/ddd/frontend/frontend-smoke.json;artifacts/ddd/frontend/playwright-smoke-results.json",DDD_FRONTEND_EXPECT_DEPLOYED=DDD_FRONTEND_EXPECT_DEPLOYED,"Frontend smoke runs against a deployed HTTPS frontend with DDD_FRONTEND_EXPECT_DEPLOYED=true.;Required Playwright smoke flows all pass and produce a JSON report.",frontend-deployed-expectation
