owner,pendingItems,source,id,reason,envKeys,action
ai,3,ai-runtime,ai-owner-gateway,ownerGateway status=CONFIGURED configuredOwners=0,"DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE;LUMIRA_AI_OWNER_IAM_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL",Configure and verify remote AI owner gateways for IAM/File/Platform integrations.
ai,3,ai-runtime,ai-provider-runtime,provider status=CONFIGURED remoteConfigured=false,"DDD_AI_EXPECT_PROVIDER_REMOTE;LUMIRA_AI_PROVIDER;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY","Configure and verify a remote AI provider runtime; strict release must not rely on local fallback."
ai,3,ai-runtime,ai-runtime-base-url,missing production-equivalent AI base URL,"LUMIRA_AI_BASE_URL;LUMIRA_BASE_URL;DEPLOY_CHECK_BASE_URL;BASE_URL",Run AI runtime drill against an HTTPS non-local AI runtime base URL.
ai-owner,1,rollback,AI,AI rollback drill is DEFERRED with approved deferral evidence,"DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_STRICT;DDD_EVIDENCE_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR","Exercise AI provider disablement, knowledge index job pause, and document index rebuild/degraded chat transcript evidence. Required evidence: AI provider disablement or fallback configuration evidence; knowledge index job pause/resume command or job output; document index rebuild or retry evidence; degraded chat/search transcript after rollback. If the drill is not safely exercisable, generate a reviewed deferral input with `node bin/ddd-rollback-deferral-template.mjs`, fill real approval evidence, then run `node bin/ddd-rollback-drill-evidence.mjs`."
auth-owner,1,rollback,Auth,Auth rollback drill is DEFERRED with approved deferral evidence,"DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_STRICT;DDD_EVIDENCE_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR","Exercise auth adapter rollback with session TTL compatibility, login smoke, and forced logout/keepalive evidence. Required evidence: login smoke result after adapter rollback; session TTL compatibility evidence; forced logout or keepalive behavior evidence; auth readiness/health response after rollback. If the drill is not safely exercisable, generate a reviewed deferral input with `node bin/ddd-rollback-deferral-template.mjs`, fill real approval evidence, then run `node bin/ddd-rollback-drill-evidence.mjs`."
database,3,explain,message-archive-total.json,[plan] message-archive-total.json: archive_candidates does not report an index key for access_type=ALL | [plan] message-archive-total.json: archive_candidates uses full scan access_type=ALL,"DDD_EXPLAIN_DIR;DDD_EXPLAIN_STRICT;DDD_EXPLAIN_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR;MYSQL_CLI;MYSQL_HOST;MYSQL_PORT;MYSQL_USER;MYSQL_PASSWORD;MYSQL_DATABASE;DDD_EXPLAIN_DATABASE","Run production-equivalent MySQL EXPLAIN collection with `node bin/ddd-collect-explain.mjs`, then `DDD_EXPLAIN_STRICT=true node bin/ddd-explain-gate.mjs`."
database,3,explain,message-unread-count.json,[plan] message-unread-count.json: unread_candidates does not report an index key for access_type=ALL | [plan] message-unread-count.json: unread_candidates uses full scan access_type=ALL,"DDD_EXPLAIN_DIR;DDD_EXPLAIN_STRICT;DDD_EXPLAIN_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR;MYSQL_CLI;MYSQL_HOST;MYSQL_PORT;MYSQL_USER;MYSQL_PASSWORD;MYSQL_DATABASE;DDD_EXPLAIN_DATABASE","Run production-equivalent MySQL EXPLAIN collection with `node bin/ddd-collect-explain.mjs`, then `DDD_EXPLAIN_STRICT=true node bin/ddd-explain-gate.mjs`."
database,3,orchestrator,orchestrator-preflight-migration-runtime-evidence,"missing migration drill env: DDD_MIGRATION_FRESH_DB_VALIDATED, DDD_MIGRATION_UPGRADE_DB_VALIDATED, DDD_MIGRATION_FRESH_DB_EVIDENCE, DDD_MIGRATION_UPGRADE_DB_EVIDENCE","DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_VALIDATED;DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_EVIDENCE","Resolve the orchestrator preflight blocker, then rerun strict release evidence with `node bin/ddd-release-evidence-orchestrator.mjs`."
file-owner,2,business-e2e,file-processing-production-equivalence,"strict file processing E2E requires HTTPS baseUrl evidence; strict file processing E2E requires non-local baseUrl, got http://127.0.0.1:8080","LUMIRA_BASE_URL;DEPLOY_CHECK_BASE_URL;BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;LUMIRA_UPLOAD_STORAGE_ROOT;LUMIRA_JOB_INTERNAL_TOKEN",Regenerate File processing E2E smoke against an HTTPS non-local production-equivalent backend with real storage and job token evidence using `node bin/ddd-file-processing-e2e-smoke.mjs`.
file-owner,2,rollback,File,File rollback drill is DEFERRED with approved deferral evidence,"DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_STRICT;DDD_EVIDENCE_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR","Exercise file processing pause, stable object-key access, and task rerun by id; attach upload, processing row, and storage evidence. Required evidence: file processing pause/resume command or job output; stable object-key read evidence after rollback; processing task rerun by id with final state; storage artifact or upload row proving access continuity. If the drill is not safely exercisable, generate a reviewed deferral input with `node bin/ddd-rollback-deferral-template.mjs`, fill real approval evidence, then run `node bin/ddd-rollback-drill-evidence.mjs`."
