fillOrder,owner,owners,group,requirement,canonicalKey,status,required,secret,valueClass,safeToPreFill,safeDefaultAvailable,requiresOwnerInput,ownerInputReason,blocker,aliases,https,nonLocal,minLength,expectedValues,pattern,disallowValues,fillGuidance
1,ai-owner,ai-owner,ai,chat model,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_CHAT_MODEL,FILLED_REDACTED,true,false,runtime-setting,true,false,false,not-blocking,false,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_CHAT_MODEL;LUMIRA_AI_CHAT_MODEL",false,false,,,,,Use the production runtime setting agreed by the owning context.
2,ai-owner,ai-owner,ai,embedding model,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_EMBEDDING_MODEL,FILLED_REDACTED,true,false,runtime-setting,true,false,false,not-blocking,false,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_EMBEDDING_MODEL;LUMIRA_AI_EMBEDDING_MODEL",false,false,,,,,Use the production runtime setting agreed by the owning context.
3,ai-owner,ai-owner,ai,file owner enabled,LUMIRA_AI_OWNER_INTEGRATIONS_FILE_ENABLED,FILLED_REDACTED,true,false,toggle,true,false,false,not-blocking,false,LUMIRA_AI_OWNER_INTEGRATIONS_FILE_ENABLED,false,false,,true,,,Use one of: true.
4,ai-owner,"ai;ai-owner;release-infra",ai,file owner url,LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
5,ai-owner,ai-owner,ai,iam owner enabled,LUMIRA_AI_OWNER_INTEGRATIONS_IAM_ENABLED,FILLED_REDACTED,true,false,toggle,true,false,false,not-blocking,false,LUMIRA_AI_OWNER_INTEGRATIONS_IAM_ENABLED,false,false,,true,,,Use one of: true.
6,ai-owner,"ai;ai-owner;release-infra",ai,iam owner url,LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
7,ai-owner,"ai-owner;file-owner;job-owner;platform-events;release-infra",ai,owner internal token,LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN,PLACEHOLDER,true,true,secret,false,false,true,secret-manager,true,"LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN;LUMIRA_AI_OWNER_INTERNAL_TOKEN;SAAS_JOB_INTERNAL_TOKEN",false,false,32,,,,"Provide via approved secret manager or secure release channel; never commit."
8,ai-owner,ai-owner,ai,platform owner enabled,LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_ENABLED,FILLED_REDACTED,true,false,toggle,true,false,false,not-blocking,false,LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_ENABLED,false,false,,true,,,Use one of: true.
9,ai-owner,"ai;ai-owner;release-infra",ai,platform owner url,LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
10,ai-owner,"ai;ai-owner;release-infra",ai,provider api key,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY,PLACEHOLDER,true,true,secret,false,false,true,secret-manager,true,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_API_KEY",false,false,32,,,,"Provide via approved secret manager or secure release channel; never commit."
