owner,status,receiptStatus,readyBatchIds,blockedBatchIds,expectedArtifactCount,presentArtifactCount,missingArtifactCount,pendingActionCount,collapsedActionCount,presentArtifacts,missingArtifacts,pendingActionIds,nextCheck
release-infra,READY,CONTENT_BLOCKED,"p0-docker-release-infra;p0-runtime-readiness-release-infra",p3-orchestrator-release-infra,5,5,0,10,0,"artifacts/ddd/build/docker-image-evidence.json;artifacts/ddd/readiness/summary.json;artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/readiness-summary.json;artifacts/ddd/release/release-evidence-gate.json",,"docker:docker-blocker-1;docker:docker-blocker-2;docker:docker-image-frontend-failed;docker:docker-image-lumira-server-failed;orchestrator:orchestrator-preflight-backend-runtime-base-url;orchestrator:orchestrator-preflight-frontend-runtime-base-url;runtime-readiness:runtime-readiness-contract-1;runtime-readiness:runtime-readiness-contract-2;runtime-readiness:runtime-readiness-contract-3;runtime-readiness:runtime-readiness-contract-4",Rerun strict release gate and readiness summary after all missing artifacts are present.
release-performance,READY,CONTENT_BLOCKED,p0-authenticated-performance-release-performance,,3,3,0,9,0,"artifacts/ddd/performance/authenticated-runtime-actual.json;artifacts/ddd/performance/authenticated-runtime-baseline-promotion.json;artifacts/ddd/performance/authenticated-runtime-baseline.json",,"authenticated-performance:performance-actual-shape-1;authenticated-performance:performance-actual-shape-2;authenticated-performance:performance-actual-shape-3;authenticated-performance:performance-actual-shape-4;authenticated-performance:performance-baseline-metadata-5;authenticated-performance:performance-baseline-metadata-6;authenticated-performance:performance-baseline-metadata-7;authenticated-performance:performance-baseline-metadata-8;authenticated-performance:performance-baseline-metadata-9",Rerun strict release gate and readiness summary after all missing artifacts are present.
lumira-ui,READY,ARTIFACT_MISSING,p0-manifest-lumira-ui,,4,2,2,3,0,"artifacts/ddd/lumira-ui/lumira-ui-build-evidence.json;artifacts/ddd/release/evidence-manifest.json","artifacts/ddd/lumira-ui/frontend-smoke.json;artifacts/ddd/lumira-ui/lumira-ui-static-evidence.json","manifest:manifest-missing-lumira-ui-frontend-smoke-json;manifest:manifest-missing-lumira-ui-lumira-ui-build-evidence-json;manifest:manifest-missing-lumira-ui-lumira-ui-static-evidence-json",Rerun strict release gate and readiness summary after all missing artifacts are present.
ai,BLOCKED,CONTENT_BLOCKED,,p1-ai-runtime-ai,1,1,0,3,1,artifacts/ddd/ai/ai-runtime-drill.json,,"ai-runtime:ai-owner-gateway;ai-runtime:ai-provider-runtime;ai-runtime:ai-runtime-base-url",Rerun strict release gate and readiness summary after all missing artifacts are present.
database,BLOCKED,ARTIFACT_MISSING,,"p2-explain-database;p3-orchestrator-database",5,4,1,3,0,"artifacts/ddd/release/explain-gate-report.json;artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/readiness-summary.json;artifacts/ddd/release/release-evidence-gate.json",tmp/ddd-explain/*.json,"explain:message-archive-total.json;explain:message-unread-count.json;orchestrator:orchestrator-preflight-migration-runtime-evidence",Rerun strict release gate and readiness summary after all missing artifacts are present.
file-owner,BLOCKED,CONTENT_BLOCKED,,"p1-business-e2e-file-owner;p1-rollback-file-owner",2,2,0,2,0,"artifacts/ddd/file/file-processing-e2e.json;artifacts/ddd/rollback/rollback-drill.json",,"business-e2e:file-processing-production-equivalence;rollback:File",Rerun strict release gate and readiness summary after all missing artifacts are present.
job-owner,BLOCKED,CONTENT_BLOCKED,,"p1-business-e2e-job-owner;p1-rollback-job-owner",2,2,0,2,0,"artifacts/ddd/jobs/job-e2e-smoke.json;artifacts/ddd/rollback/rollback-drill.json",,"business-e2e:job-e2e-production-equivalence;rollback:Job",Rerun strict release gate and readiness summary after all missing artifacts are present.
payment-owner,BLOCKED,CONTENT_BLOCKED,,"p1-business-e2e-payment-owner;p1-rollback-payment-owner",2,2,0,2,0,"artifacts/ddd/payment/payment-webhook-e2e.json;artifacts/ddd/rollback/rollback-drill.json",,"business-e2e:payment-webhook-artifact;rollback:Payment",Rerun strict release gate and readiness summary after all missing artifacts are present.
ai-owner,BLOCKED,CONTENT_BLOCKED,,p1-rollback-ai-owner,1,1,0,1,0,artifacts/ddd/rollback/rollback-drill.json,,rollback:AI,Rerun strict release gate and readiness summary after all missing artifacts are present.
auth-owner,BLOCKED,CONTENT_BLOCKED,,p1-rollback-auth-owner,1,1,0,1,0,artifacts/ddd/rollback/rollback-drill.json,,rollback:Auth,Rerun strict release gate and readiness summary after all missing artifacts are present.
iam-owner,BLOCKED,CONTENT_BLOCKED,,p1-rollback-iam-owner,1,1,0,1,0,artifacts/ddd/rollback/rollback-drill.json,,rollback:IAM,Rerun strict release gate and readiness summary after all missing artifacts are present.
localization-owner,BLOCKED,CONTENT_BLOCKED,,p1-rollback-localization-owner,1,1,0,1,0,artifacts/ddd/rollback/rollback-drill.json,,rollback:Localization,Rerun strict release gate and readiness summary after all missing artifacts are present.
message-owner,BLOCKED,CONTENT_BLOCKED,,p1-rollback-message-owner,1,1,0,1,0,artifacts/ddd/rollback/rollback-drill.json,,rollback:Message,Rerun strict release gate and readiness summary after all missing artifacts are present.
platform-owner,BLOCKED,CONTENT_BLOCKED,,p1-rollback-platform-owner,1,1,0,1,0,artifacts/ddd/rollback/rollback-drill.json,,rollback:Platform,Rerun strict release gate and readiness summary after all missing artifacts are present.
plugin-owner,BLOCKED,CONTENT_BLOCKED,,p1-rollback-plugin-owner,1,1,0,1,0,artifacts/ddd/rollback/rollback-drill.json,,rollback:Plugin,Rerun strict release gate and readiness summary after all missing artifacts are present.
release-owner,BLOCKED,CONTENT_BLOCKED,,p3-orchestrator-release-owner,3,3,0,1,0,"artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/readiness-summary.json;artifacts/ddd/release/release-evidence-gate.json",,orchestrator:orchestrator-run-mode,Rerun strict release gate and readiness summary after all missing artifacts are present.
