fillOrder,owner,priority,readyGroupCount,blockedGroupCount,unresolvedTemplateKeyCount,filledTemplateKeyCount,placeholderTemplateKeyCount,missingTemplateKeyCount,unresolvedTemplateKeys,filledTemplateKeys,placeholderTemplateKeys,missingTemplateKeys,fillStatusByKey,readyBatchIds,blockedBatchIds,commands,exitCriteria
1,release-infra,RUN_NOW,2,1,5,5,0,0,"BASE_URL;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;PLAYWRIGHT_BASE_URL","BASE_URL;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;PLAYWRIGHT_BASE_URL",,,"BASE_URL:filled;DDD_EVIDENCE_OPERATOR:filled;DDD_RELEASE_CANDIDATE:filled;LUMIRA_BASE_URL:filled;PLAYWRIGHT_BASE_URL:filled","p0-docker-release-infra;p0-runtime-readiness-release-infra",p3-orchestrator-release-infra,"DDD_DOCKER_BUILD_STRICT=true node bin/ddd-docker-build-evidence.mjs;node bin/ddd-runtime-readiness-smoke.mjs;node bin/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node bin/ddd-release-evidence-orchestrator.mjs --run --strict","All 30 owner readiness/health/metrics checks pass.;Clear this batch before running downstream runtime-heavy evidence.;Docker CLI and daemon are available in the evidence runner.;Final strict release gate and readiness summary report zero blockers.;Required lumira-server and lumira-ui images are built, inspected, and not skipped.;Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Run only after all prerequisite evidence batches are clean.;Runtime readiness is generated from an HTTPS non-local backend base URL."
2,database,RUN_NOW,1,2,12,12,0,0,"DB_PASSWORD;DB_USERNAME;DDD_EVIDENCE_OPERATOR;DDD_EXPLAIN_DATABASE;DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_VALIDATED;DDD_RELEASE_CANDIDATE;MYSQL_DATABASE;MYSQL_HOST;MYSQL_PORT","DB_PASSWORD;DB_USERNAME;DDD_EVIDENCE_OPERATOR;DDD_EXPLAIN_DATABASE;DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_VALIDATED;DDD_RELEASE_CANDIDATE;MYSQL_DATABASE;MYSQL_HOST;MYSQL_PORT",,,"DB_PASSWORD:filled;DB_USERNAME:filled;DDD_EVIDENCE_OPERATOR:filled;DDD_EXPLAIN_DATABASE:filled;DDD_MIGRATION_FRESH_DB_EVIDENCE:filled;DDD_MIGRATION_FRESH_DB_VALIDATED:filled;DDD_MIGRATION_UPGRADE_DB_EVIDENCE:filled;DDD_MIGRATION_UPGRADE_DB_VALIDATED:filled;DDD_RELEASE_CANDIDATE:filled;MYSQL_DATABASE:filled;MYSQL_HOST:filled;MYSQL_PORT:filled",p0-manifest-database,"p2-explain-database;p3-orchestrator-database","DDD_RELEASE_MANIFEST_CHECK_ENV=true node bin/ddd-release-evidence-manifest.mjs;node bin/ddd-promote-performance-baseline.mjs;DDD_RELEASE_MANIFEST_STRICT=true DDD_RELEASE_MANIFEST_EXIT_ON_BLOCKERS=false node bin/ddd-release-evidence-manifest.mjs;node bin/ddd-collect-explain.mjs;DDD_EXPLAIN_STRICT=true node bin/ddd-explain-gate.mjs;node bin/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node bin/ddd-release-evidence-orchestrator.mjs --run --strict","All required release evidence artifacts are present and checksummed.;Clear this batch before running downstream runtime-heavy evidence.;Final strict release gate and readiness summary report zero blockers.;Production-equivalent MySQL EXPLAIN artifacts are freshly collected for every required hot path.;Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Run only after all prerequisite evidence batches are clean.;Strict explain gate has no full scans, legacy imports, missing indexes, or contract issues."
3,release-performance,RUN_NOW,1,0,4,4,0,0,"DDD_AUTH_PERF_BASELINE_ACCEPTED_BY;DDD_AUTH_PERF_BASELINE_ENVIRONMENT;DDD_AUTH_PERF_BASELINE_SOURCE_ARTIFACT;DDD_RELEASE_CANDIDATE","DDD_AUTH_PERF_BASELINE_ACCEPTED_BY;DDD_AUTH_PERF_BASELINE_ENVIRONMENT;DDD_AUTH_PERF_BASELINE_SOURCE_ARTIFACT;DDD_RELEASE_CANDIDATE",,,"DDD_AUTH_PERF_BASELINE_ACCEPTED_BY:filled;DDD_AUTH_PERF_BASELINE_ENVIRONMENT:filled;DDD_AUTH_PERF_BASELINE_SOURCE_ARTIFACT:filled;DDD_RELEASE_CANDIDATE:filled",p0-authenticated-performance-release-performance,,"node bin/ddd-authenticated-performance-smoke.mjs;node bin/ddd-promote-performance-baseline.mjs","Accepted baseline exists and current p95/upload metrics do not regress beyond the configured threshold.;Authenticated performance actual is generated from a production-equivalent HTTPS backend.;Clear this batch before running downstream runtime-heavy evidence."
4,lumira-ui,RUN_NOW,1,0,2,2,0,0,"DDD_RELEASE_CANDIDATE;PLAYWRIGHT_BASE_URL","DDD_RELEASE_CANDIDATE;PLAYWRIGHT_BASE_URL",,,"DDD_RELEASE_CANDIDATE:filled;PLAYWRIGHT_BASE_URL:filled",p0-manifest-lumira-ui,,"DDD_RELEASE_MANIFEST_CHECK_ENV=true node bin/ddd-release-evidence-manifest.mjs;node bin/ddd-promote-performance-baseline.mjs;DDD_RELEASE_MANIFEST_STRICT=true DDD_RELEASE_MANIFEST_EXIT_ON_BLOCKERS=false node bin/ddd-release-evidence-manifest.mjs","All required release evidence artifacts are present and checksummed.;Clear this batch before running downstream runtime-heavy evidence."
5,release-owner,RUN_NOW,1,1,2,2,0,0,"DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE","DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE",,,"DDD_EVIDENCE_OPERATOR:filled;DDD_RELEASE_CANDIDATE:filled",p0-manifest-release-owner,p3-orchestrator-release-owner,"DDD_RELEASE_MANIFEST_CHECK_ENV=true node bin/ddd-release-evidence-manifest.mjs;node bin/ddd-promote-performance-baseline.mjs;DDD_RELEASE_MANIFEST_STRICT=true DDD_RELEASE_MANIFEST_EXIT_ON_BLOCKERS=false node bin/ddd-release-evidence-manifest.mjs;node bin/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node bin/ddd-release-evidence-orchestrator.mjs --run --strict","All required release evidence artifacts are present and checksummed.;Clear this batch before running downstream runtime-heavy evidence.;Final strict release gate and readiness summary report zero blockers.;Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Run only after all prerequisite evidence batches are clean."
6,ai,WAITING,0,1,9,8,0,1,"AI_SERVICE_BASE_URL;BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_PROVIDER;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_BASE_URL","AI_SERVICE_BASE_URL;BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_BASE_URL",,LUMIRA_AI_PROVIDER,"AI_SERVICE_BASE_URL:filled;BASE_URL:filled;LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL:filled;LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL:filled;LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL:filled;LUMIRA_AI_PROVIDER:missing;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY:filled;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL:filled;LUMIRA_BASE_URL:filled",,p1-ai-runtime-ai,node bin/ddd-ai-runtime-drill.mjs,"AI runtime drill uses HTTPS non-local base URL with remote provider and owner gateway expectations enabled.;Provider is not local fallback and owner gateway has configured owner integrations."
7,file-owner,WAITING,0,2,7,7,0,0,"BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN;UPLOAD_STORAGE_ROOT","BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN;UPLOAD_STORAGE_ROOT",,,"BASE_URL:filled;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE:filled;DDD_EVIDENCE_OPERATOR:filled;DDD_RELEASE_CANDIDATE:filled;LUMIRA_BASE_URL:filled;SAAS_JOB_INTERNAL_TOKEN:filled;UPLOAD_STORAGE_ROOT:filled",,"p1-business-e2e-file-owner;p1-rollback-file-owner","node bin/ddd-file-processing-e2e-smoke.mjs;node bin/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node bin/ddd-rollback-drill-evidence.mjs;node bin/ddd-rollback-drill-evidence.mjs","Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.;File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata."
8,job-owner,WAITING,0,2,6,6,0,0,"BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN","BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN",,,"BASE_URL:filled;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE:filled;DDD_EVIDENCE_OPERATOR:filled;DDD_RELEASE_CANDIDATE:filled;LUMIRA_BASE_URL:filled;SAAS_JOB_INTERNAL_TOKEN:filled",,"p1-business-e2e-job-owner;p1-rollback-job-owner","node bin/ddd-job-e2e-smoke.mjs;node bin/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node bin/ddd-rollback-drill-evidence.mjs;node bin/ddd-rollback-drill-evidence.mjs","Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.;File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata."
9,payment-owner,WAITING,0,2,6,6,0,0,"BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;PAYMENT_PUBLIC_BASE_URL","BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;PAYMENT_PUBLIC_BASE_URL",,,"BASE_URL:filled;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE:filled;DDD_EVIDENCE_OPERATOR:filled;DDD_RELEASE_CANDIDATE:filled;LUMIRA_BASE_URL:filled;PAYMENT_PUBLIC_BASE_URL:filled",,"p1-business-e2e-payment-owner;p1-rollback-payment-owner","node bin/ddd-payment-webhook-e2e-smoke.mjs;node bin/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node bin/ddd-rollback-drill-evidence.mjs;node bin/ddd-rollback-drill-evidence.mjs","Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.;File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata."
10,ai-owner,WAITING,0,1,2,2,0,0,"DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE","DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE",,,"DDD_EVIDENCE_OPERATOR:filled;DDD_RELEASE_CANDIDATE:filled",,p1-rollback-ai-owner,"node bin/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node bin/ddd-rollback-drill-evidence.mjs;node bin/ddd-rollback-drill-evidence.mjs",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.
