owner,context,currentStatus,envStatus,requiredEnvKeys,missingEnvKeys,evidenceRequirements,nextCommand,action
iam-owner,IAM,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or IAM_ROLLBACK_EVIDENCE or IAM_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or IAM_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or IAM_ROLLBACK_EVIDENCE or IAM_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or IAM_ROLLBACK_OWNER,permission snapshot version before and after rollback; cache invalidation or version bump evidence; IAM v2 readiness/health response after rollback; audit entry or command log for the rollback action,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,"Exercise permission snapshot rollback, cache invalidation, and IAM v2-to-v1 adapter fallback; attach readiness, audit, and cache evidence."
auth-owner,Auth,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or AUTH_ROLLBACK_EVIDENCE or AUTH_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or AUTH_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or AUTH_ROLLBACK_EVIDENCE or AUTH_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or AUTH_ROLLBACK_OWNER,login smoke result after adapter rollback; session TTL compatibility evidence; forced logout or keepalive behavior evidence; auth readiness/health response after rollback,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,"Exercise auth adapter rollback with session TTL compatibility, login smoke, and forced logout/keepalive evidence."
platform-owner,Platform,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or PLATFORM_ROLLBACK_EVIDENCE or PLATFORM_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or PLATFORM_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or PLATFORM_ROLLBACK_EVIDENCE or PLATFORM_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or PLATFORM_ROLLBACK_OWNER,runtime appearance/config version before and after rollback; cache clear or version invalidation evidence; bootstrap response using the rolled-back config; platform audit entry for the rollback action,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,Exercise platform config/runtime appearance rollback and cache clear; attach bootstrap/config version and audit evidence.
message-owner,Message,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or MESSAGE_ROLLBACK_EVIDENCE or MESSAGE_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or MESSAGE_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or MESSAGE_ROLLBACK_EVIDENCE or MESSAGE_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or MESSAGE_ROLLBACK_OWNER,message relay pause/resume command or job output; delivery fallback evidence for at least one notice; idempotent replay result with duplicate-safe state; message readiness/metrics response after rollback,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,"Exercise message relay pause, monolith-compatible delivery fallback, and idempotent replay; attach relay and message state evidence."
file-owner,File,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or FILE_ROLLBACK_EVIDENCE or FILE_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or FILE_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or FILE_ROLLBACK_EVIDENCE or FILE_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or FILE_ROLLBACK_OWNER,file processing pause/resume command or job output; stable object-key read evidence after rollback; processing task rerun by id with final state; storage artifact or upload row proving access continuity,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,"Exercise file processing pause, stable object-key access, and task rerun by id; attach upload, processing row, and storage evidence."
plugin-owner,Plugin,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or PLUGIN_ROLLBACK_EVIDENCE or PLUGIN_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or PLUGIN_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or PLUGIN_ROLLBACK_EVIDENCE or PLUGIN_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or PLUGIN_ROLLBACK_OWNER,tenant plugin disable or version rollback command output; bootstrap projection rebuild evidence; tenant plugin projection row before and after rollback; plugin audit entry for the rollback action,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,Exercise tenant plugin disable/version rollback and bootstrap projection rebuild; attach audit and tenant projection evidence.
localization-owner,Localization,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or LOCALIZATION_ROLLBACK_EVIDENCE or LOCALIZATION_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or LOCALIZATION_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or LOCALIZATION_ROLLBACK_EVIDENCE or LOCALIZATION_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or LOCALIZATION_ROLLBACK_OWNER,localization release id before and after rollback; runtime bundle cache clear evidence; bundle request or metrics proving rolled-back release is served; localization audit entry for the rollback action,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,"Exercise localization release rollback and runtime bundle cache clear; attach release id, bundle metrics, and audit evidence."
payment-owner,Payment,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or PAYMENT_ROLLBACK_EVIDENCE or PAYMENT_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or PAYMENT_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or PAYMENT_ROLLBACK_EVIDENCE or PAYMENT_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or PAYMENT_ROLLBACK_OWNER,payment provider route fallback configuration evidence; webhook idempotent replay result; order status trace before and after replay; webhook metrics or audit entry for the rollback action,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,"Exercise payment webhook route fallback and idempotent event replay; attach provider routing, webhook metrics, and order trace evidence."
ai-owner,AI,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or AI_ROLLBACK_EVIDENCE or AI_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or AI_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or AI_ROLLBACK_EVIDENCE or AI_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or AI_ROLLBACK_OWNER,AI provider disablement or fallback configuration evidence; knowledge index job pause/resume command or job output; document index rebuild or retry evidence; degraded chat/search transcript after rollback,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,"Exercise AI provider disablement, knowledge index job pause, and document index rebuild/degraded chat transcript evidence."
job-owner,Job,MISSING,MISSING,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or JOB_ROLLBACK_EVIDENCE or JOB_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or JOB_ROLLBACK_OWNER,DDD_ROLLBACK_DRILL_FILE; DDD_ROLLBACK_DRILL_DEFERRAL_FILE or JOB_ROLLBACK_EVIDENCE or JOB_ROLLBACK_DEFERRAL_EVIDENCE; DDD_EVIDENCE_ENVIRONMENT or DDD_ROLLBACK_DRILL_ENVIRONMENT or DDD_RELEASE_ENVIRONMENT; DDD_RELEASE_CANDIDATE or GITHUB_SHA; DDD_EVIDENCE_OPERATOR or GITHUB_ACTOR or JOB_ROLLBACK_OWNER,XXL-JOB handler disablement or dashboard evidence; manual owner internal endpoint fallback result; internal job token provenance or redacted request evidence; job readiness/metrics response after rollback,DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs,"Exercise XXL-JOB handler disablement and manual owner internal endpoint fallback; attach dashboard, token, and endpoint evidence."
