finalRecommendation,cutoverAllowed,stopReasonCount,owner,status,pendingItems,priorities,readyBatchIds,blockedBatchIds,blockedByBatchIds,templateEnvKeys,aliasMappings,listCommand,envCheckCommand,dryRunCommand,executeCommand,expectedArtifacts,exitCriteria
NO_GO_STRICT,false,8,release-infra,READY,10,"P0;P3","p0-docker-release-infra;p0-runtime-readiness-release-infra",p3-orchestrator-release-infra,"p1-ai-runtime-ai;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","BASE_URL;DDD_DOCKER_BUILD_STRICT;DDD_DOCKER_COMMAND;DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;LUMIRA_BASE_URL;PLAYWRIGHT_BASE_URL","DEPLOY_CHECK_BASE_URL->LUMIRA_BASE_URL;FRONTEND_BASE_URL->PLAYWRIGHT_BASE_URL",DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_LIST_BATCHES=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_CHECK_ENV_ONLY=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_DRY_RUN=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 bash artifacts/ddd/release/release-execution-commands.sh,"artifacts/ddd/build/docker-image-evidence.json;artifacts/ddd/readiness/summary.json;artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/readiness-summary.json;artifacts/ddd/release/release-evidence-gate.json","All 30 owner readiness/health/metrics checks pass.;Clear this batch before running downstream runtime-heavy evidence.;Docker CLI and daemon are available in the evidence runner.;Final strict release gate and readiness summary report zero blockers.;Required lumira-server and lumira-ui images are built, inspected, and not skipped.;Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Rerun strict release gate and readiness summary after evidence is refreshed.;Run only after all prerequisite evidence batches are clean.;Runtime readiness is generated from an HTTPS non-local backend base URL."
NO_GO_STRICT,false,8,release-performance,READY,9,P0,p0-authenticated-performance-release-performance,,,"DDD_AUTH_PERF_BASELINE_ACCEPTED_BY;DDD_AUTH_PERF_BASELINE_ENVIRONMENT;DDD_AUTH_PERF_BASELINE_SOURCE_ARTIFACT;DDD_RELEASE_CANDIDATE",,DDD_RELEASE_OWNER=release-performance DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_LIST_BATCHES=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=release-performance DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_CHECK_ENV_ONLY=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=release-performance DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_DRY_RUN=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=release-performance DDD_RELEASE_PRIORITY=P0 bash artifacts/ddd/release/release-execution-commands.sh,"artifacts/ddd/performance/authenticated-runtime-actual.json;artifacts/ddd/performance/authenticated-runtime-baseline-promotion.json;artifacts/ddd/performance/authenticated-runtime-baseline.json","Accepted baseline exists and current p95/upload metrics do not regress beyond the configured threshold.;Authenticated performance actual is generated from a production-equivalent HTTPS backend.;Clear this batch before running downstream runtime-heavy evidence.;Rerun strict release gate and readiness summary after evidence is refreshed."
NO_GO_STRICT,false,8,lumira-ui,READY,3,P0,p0-manifest-lumira-ui,,,"DDD_EVIDENCE_ENVIRONMENT;DDD_FRONTEND_EXPECT_DEPLOYED;DDD_RELEASE_CANDIDATE;PLAYWRIGHT_BASE_URL",,DDD_RELEASE_OWNER=lumira-ui DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_LIST_BATCHES=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=lumira-ui DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_CHECK_ENV_ONLY=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=lumira-ui DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_DRY_RUN=1 bash artifacts/ddd/release/release-execution-commands.sh,DDD_RELEASE_OWNER=lumira-ui DDD_RELEASE_PRIORITY=P0 bash artifacts/ddd/release/release-execution-commands.sh,"artifacts/ddd/lumira-ui/frontend-smoke.json;artifacts/ddd/lumira-ui/lumira-ui-build-evidence.json;artifacts/ddd/lumira-ui/lumira-ui-static-evidence.json;artifacts/ddd/release/evidence-manifest.json","All required release evidence artifacts are present and checksummed.;Clear this batch before running downstream runtime-heavy evidence.;Rerun strict release gate and readiness summary after evidence is refreshed."
NO_GO_STRICT,false,8,ai,BLOCKED,3,P1,,p1-ai-runtime-ai,,"AI_SERVICE_BASE_URL;BASE_URL;DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE;DDD_AI_EXPECT_PROVIDER_REMOTE;LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_PROVIDER;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_BASE_URL","LUMIRA_AI_BASE_URL->AI_SERVICE_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL->LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL->LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL->LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;DEPLOY_CHECK_BASE_URL->LUMIRA_BASE_URL",,,,,artifacts/ddd/ai/ai-runtime-drill.json,"AI runtime drill uses HTTPS non-local base URL with remote provider and owner gateway expectations enabled.;Provider is not local fallback and owner gateway has configured owner integrations.;Rerun strict release gate and readiness summary after evidence is refreshed."
NO_GO_STRICT,false,8,database,BLOCKED,3,"P2;P3",,"p2-explain-database;p3-orchestrator-database","p1-ai-runtime-ai;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","DB_PASSWORD;DB_USERNAME;DDD_EVIDENCE_OPERATOR;DDD_EXPLAIN_DATABASE;DDD_EXPLAIN_DIR;DDD_EXPLAIN_ENVIRONMENT;DDD_EXPLAIN_STRICT;DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_VALIDATED;DDD_RELEASE_CANDIDATE;MYSQL_CLI;MYSQL_DATABASE;MYSQL_HOST;MYSQL_PORT","MYSQL_PASSWORD->DB_PASSWORD;MYSQL_USER->DB_USERNAME",,,,,"artifacts/ddd/release/explain-gate-report.json;artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/readiness-summary.json;artifacts/ddd/release/release-evidence-gate.json;tmp/ddd-explain/*.json","Final strict release gate and readiness summary report zero blockers.;Production-equivalent MySQL EXPLAIN artifacts are freshly collected for every required hot path.;Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Rerun strict release gate and readiness summary after evidence is refreshed.;Run only after all prerequisite evidence batches are clean.;Strict explain gate has no full scans, legacy imports, missing indexes, or contract issues."
NO_GO_STRICT,false,8,file-owner,BLOCKED,2,P1,,"p1-business-e2e-file-owner;p1-rollback-file-owner",,"BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT;LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN;UPLOAD_STORAGE_ROOT","DEPLOY_CHECK_BASE_URL->LUMIRA_BASE_URL;LUMIRA_JOB_INTERNAL_TOKEN->SAAS_JOB_INTERNAL_TOKEN;LUMIRA_UPLOAD_STORAGE_ROOT->UPLOAD_STORAGE_ROOT",,,,,"artifacts/ddd/file/file-processing-e2e.json;artifacts/ddd/rollback/rollback-drill.json","Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.;File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata.;Rerun strict release gate and readiness summary after evidence is refreshed."
NO_GO_STRICT,false,8,job-owner,BLOCKED,2,P1,,"p1-business-e2e-job-owner;p1-rollback-job-owner",,"BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT;LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN","DEPLOY_CHECK_BASE_URL->LUMIRA_BASE_URL;LUMIRA_JOB_INTERNAL_TOKEN->SAAS_JOB_INTERNAL_TOKEN",,,,,"artifacts/ddd/jobs/job-e2e-smoke.json;artifacts/ddd/rollback/rollback-drill.json","Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.;File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata.;Rerun strict release gate and readiness summary after evidence is refreshed."
NO_GO_STRICT,false,8,payment-owner,BLOCKED,2,P1,,"p1-business-e2e-payment-owner;p1-rollback-payment-owner",,"DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT;LUMIRA_BASE_URL;PAYMENT_PUBLIC_BASE_URL",,,,,,"artifacts/ddd/payment/payment-webhook-e2e.json;artifacts/ddd/rollback/rollback-drill.json","Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.;File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata.;Rerun strict release gate and readiness summary after evidence is refreshed."
NO_GO_STRICT,false,8,ai-owner,BLOCKED,1,P1,,p1-rollback-ai-owner,,"DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT",,,,,,artifacts/ddd/rollback/rollback-drill.json,"Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.;Rerun strict release gate and readiness summary after evidence is refreshed."
NO_GO_STRICT,false,8,auth-owner,BLOCKED,1,P1,,p1-rollback-auth-owner,,"DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT",,,,,,artifacts/ddd/rollback/rollback-drill.json,"Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.;Rerun strict release gate and readiness summary after evidence is refreshed."
