inputOrder,fillOrder,owner,ownerReady,canonicalKey,aliases,group,requirement,status,valueClass,ownerInputReason,secret,requiresOwnerInput,required,httpsRequired,nonLocalRequired,minLength,safeDefaultAvailable,packetPath,handoffPath,collectionGuidance
1,4,ai-owner,false,LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL,"LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL",ai,file owner url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/04-ai-owner.json,artifacts/ddd/release/release-env-owner-handoff-redacted/04-ai-owner.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
2,6,ai-owner,false,LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL,"LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL",ai,iam owner url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/04-ai-owner.json,artifacts/ddd/release/release-env-owner-handoff-redacted/04-ai-owner.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
3,7,ai-owner,false,LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN,"LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN;LUMIRA_AI_OWNER_INTERNAL_TOKEN;SAAS_JOB_INTERNAL_TOKEN",ai,owner internal token,PLACEHOLDER,secret,secret-manager,true,true,true,false,false,32,false,artifacts/ddd/release/release-env-owner-input-packet/04-ai-owner.json,artifacts/ddd/release/release-env-owner-handoff-redacted/04-ai-owner.md,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
4,9,ai-owner,false,LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL,"LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL",ai,platform owner url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/04-ai-owner.json,artifacts/ddd/release/release-env-owner-handoff-redacted/04-ai-owner.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
5,10,ai-owner,false,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_API_KEY",ai,provider api key,PLACEHOLDER,secret,secret-manager,true,true,true,false,false,32,false,artifacts/ddd/release/release-env-owner-input-packet/04-ai-owner.json,artifacts/ddd/release/release-env-owner-handoff-redacted/04-ai-owner.md,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
6,11,ai-owner,false,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_BASE_URL",ai,provider base url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/04-ai-owner.json,artifacts/ddd/release/release-env-owner-handoff-redacted/04-ai-owner.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
7,16,payment-owner,false,PAYMENT_PUBLIC_BASE_URL,PAYMENT_PUBLIC_BASE_URL,payment,payment public url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/05-payment-owner.json,artifacts/ddd/release/release-env-owner-handoff-redacted/05-payment-owner.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
8,18,platform-events,false,SAAS_EVENT_REDIS_STREAM_KEY,"SAAS_EVENT_REDIS_STREAM_KEY;LUMIRA_EVENT_REDIS_STREAM_KEY",jobs-and-events,event stream key,PLACEHOLDER,secret,secret-manager,true,true,true,false,false,,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
9,19,platform-events,false,SAAS_JOB_BACKEND_BASE_URL,"SAAS_JOB_BACKEND_BASE_URL;LUMIRA_JOB_BACKEND_BASE_URL",jobs-and-events,job backend url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
10,20,platform-events,false,SAAS_JOB_FILE_SERVICE_BASE_URL,"SAAS_JOB_FILE_SERVICE_BASE_URL;LUMIRA_JOB_FILE_SERVICE_BASE_URL",jobs-and-events,job file url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
