inputOrder,owner,canonicalKey,aliases,group,requirement,status,valueClass,ownerInputReason,secret,safeDefaultAvailable,required,validationHttps,validationNonLocal,validationMinLength,validationExpectedValues,collectionGuidance
1,ai-owner,LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL,"LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL",ai,file owner url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
2,ai-owner,LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL,"LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL",ai,iam owner url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
3,ai-owner,LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN,"LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN;LUMIRA_AI_OWNER_INTERNAL_TOKEN;SAAS_JOB_INTERNAL_TOKEN",ai,owner internal token,PLACEHOLDER,secret,secret-manager,true,false,true,false,false,32,,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
4,ai-owner,LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL,"LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL",ai,platform owner url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
5,ai-owner,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_API_KEY",ai,provider api key,PLACEHOLDER,secret,secret-manager,true,false,true,false,false,32,,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
6,ai-owner,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_BASE_URL",ai,provider base url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
7,payment-owner,PAYMENT_PUBLIC_BASE_URL,PAYMENT_PUBLIC_BASE_URL,payment,payment public url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
8,platform-events,SAAS_EVENT_REDIS_STREAM_KEY,"SAAS_EVENT_REDIS_STREAM_KEY;LUMIRA_EVENT_REDIS_STREAM_KEY",jobs-and-events,event stream key,PLACEHOLDER,secret,secret-manager,true,false,true,false,false,,,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
9,platform-events,SAAS_JOB_BACKEND_BASE_URL,"SAAS_JOB_BACKEND_BASE_URL;LUMIRA_JOB_BACKEND_BASE_URL",jobs-and-events,job backend url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
10,platform-events,SAAS_JOB_FILE_SERVICE_BASE_URL,"SAAS_JOB_FILE_SERVICE_BASE_URL;LUMIRA_JOB_FILE_SERVICE_BASE_URL",jobs-and-events,job file url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
11,platform-events,SAAS_JOB_INTERNAL_TOKEN,"SAAS_JOB_INTERNAL_TOKEN;DDD_JOB_INTERNAL_TOKEN;LUMIRA_JOB_INTERNAL_TOKEN",jobs-and-events,job internal token,PLACEHOLDER,secret,secret-manager,true,false,true,false,false,32,,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
12,platform-events,SAAS_JOB_MESSAGE_SERVICE_BASE_URL,"SAAS_JOB_MESSAGE_SERVICE_BASE_URL;LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL",jobs-and-events,job message url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
13,platform-events,SAAS_JOB_PAYMENT_SERVICE_BASE_URL,"SAAS_JOB_PAYMENT_SERVICE_BASE_URL;LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL",jobs-and-events,job payment url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
14,platform-events,SAAS_JOB_PLUGIN_SERVICE_BASE_URL,"SAAS_JOB_PLUGIN_SERVICE_BASE_URL;LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL",jobs-and-events,job plugin url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
15,platform-events,XXL_JOB_ADMIN_ADDRESSES,"XXL_JOB_ADMIN_ADDRESSES;LUMIRA_XXL_JOB_ADMIN_ADDRESSES",jobs-and-events,xxl job admin,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
16,platform-events,XXL_JOB_ACCESS_TOKEN,"XXL_JOB_ACCESS_TOKEN;XXL_JOB_ADMIN_ACCESS_TOKEN;LUMIRA_XXL_JOB_ACCESS_TOKEN",jobs-and-events,xxl job token,PLACEHOLDER,secret,secret-manager,true,false,true,false,false,32,,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
