wave,owner,batchId,priority,receiptStatus,itemOrders,itemIds,expectedArtifactCount,presentArtifactCount,missingArtifactCount,missingArtifacts,blockerHints,rerunCommands
1,release-infra,p0-release-env-lint-release-infra,P0,READY_FOR_STRICT_GATE_RERUN,"1;2","release-env-lint-placeholders;release-env-lint-status",2,2,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
2,ai-owner,p0-release-config-ai-owner,P0,READY_FOR_STRICT_GATE_RERUN,"3;4;5;6;7;8;9;10;11;12;13;14","file owner url;iam owner url;owner internal token;platform owner url;provider api key;provider base url",1,1,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
3,payment-owner,p0-release-config-payment-owner,P0,READY_FOR_STRICT_GATE_RERUN,"15;16",payment public url,1,1,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
4,platform-events,p0-release-config-platform-events,P0,READY_FOR_STRICT_GATE_RERUN,"17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33","event stream key;job backend url;job file url;job internal token;job message url;job payment url;job plugin url;xxl job admin;xxl job token",1,1,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
5,platform-owners,p0-release-config-platform-owners,P0,READY_FOR_STRICT_GATE_RERUN,"34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51","ai service;auth service;file service;job executor;localization service;message service;payment service;plugin service;system service",1,1,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
6,release-infra,p0-release-config-release-infra,P0,READY_FOR_STRICT_GATE_RERUN,"52;53;54;55;56;57;58;59;60;61;62;63;64;65","backend base url;cors origins;database password;database url;database username;field secret;frontend base url;jwt secret;redis host",1,1,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
7,release-infra,p0-docker-release-infra,P0,READY_FOR_STRICT_GATE_RERUN,"66;67;68;69","docker-blocker-1;docker-blocker-2;docker-image-frontend-failed;docker-image-lumira-server-failed",1,1,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
8,release-infra,p0-runtime-readiness-release-infra,P0,READY_FOR_STRICT_GATE_RERUN,"70;71;72;73","runtime-readiness-contract-1;runtime-readiness-contract-2;runtime-readiness-contract-3;runtime-readiness-contract-4",1,1,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
9,release-owner,p0-manifest-release-owner,P0,CONTENT_BLOCKED,74,manifest-missing-no-explain-json-files-in-tmp-ddd-explain,1,1,0,,artifacts/ddd/release/evidence-manifest.json blocker: artifacts/ddd/no explain JSON files in tmp\ddd-explain,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
10,release-performance,p0-authenticated-performance-release-performance,P0,READY_FOR_STRICT_GATE_RERUN,"75;76;77;78;79;80;81;82;83","performance-actual-shape-1;performance-actual-shape-2;performance-actual-shape-3;performance-actual-shape-4;performance-baseline-metadata-5;performance-baseline-metadata-6;performance-baseline-metadata-7;performance-baseline-metadata-8;performance-baseline-metadata-9",3,3,0,,,"node scripts/ddd-release-evidence-gate.mjs;node scripts/ddd-release-readiness-summary.mjs"
