fillOrder,owner,owners,group,requirement,canonicalKey,valueClass,secret,safeToPreFill,fillGuidance,aliasCount,unresolvedAliasCount,aliases,unresolvedAliases,required,https,nonLocal,minLength,expectedValues,pattern,disallowValues,aliasSyncCommand
1,ai-owner,ai-owner,ai,chat model,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_CHAT_MODEL,runtime-setting,false,true,Use the production runtime setting agreed by the owning context.,2,0,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_CHAT_MODEL;LUMIRA_AI_CHAT_MODEL",,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
2,ai-owner,ai-owner,ai,embedding model,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_EMBEDDING_MODEL,runtime-setting,false,true,Use the production runtime setting agreed by the owning context.,2,0,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_EMBEDDING_MODEL;LUMIRA_AI_EMBEDDING_MODEL",,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
3,ai-owner,ai-owner,ai,file owner enabled,LUMIRA_AI_OWNER_INTEGRATIONS_FILE_ENABLED,toggle,false,true,Use one of: true.,1,0,LUMIRA_AI_OWNER_INTEGRATIONS_FILE_ENABLED,,true,false,false,,true,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
4,ai-owner,"ai;ai-owner",ai,file owner url,LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
5,ai-owner,ai-owner,ai,iam owner enabled,LUMIRA_AI_OWNER_INTEGRATIONS_IAM_ENABLED,toggle,false,true,Use one of: true.,1,0,LUMIRA_AI_OWNER_INTEGRATIONS_IAM_ENABLED,,true,false,false,,true,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
6,ai-owner,"ai;ai-owner",ai,iam owner url,LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
7,ai-owner,"ai-owner;file-owner;job-owner",ai,owner internal token,LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",3,0,"LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN;LUMIRA_AI_OWNER_INTERNAL_TOKEN;SAAS_JOB_INTERNAL_TOKEN",,true,false,false,32,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
8,ai-owner,ai-owner,ai,platform owner enabled,LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_ENABLED,toggle,false,true,Use one of: true.,1,0,LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_ENABLED,,true,false,false,,true,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
9,ai-owner,"ai;ai-owner",ai,platform owner url,LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
10,ai-owner,"ai;ai-owner",ai,provider api key,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",2,0,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_API_KEY",,true,false,false,32,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
