order,finalRecommendation,cutoverAllowed,stopReasonCount,owner,queueStatus,receiptStatus,strictGateBlockerCount,readyBatchIds,blockedBatchIds,missingArtifacts,pendingActionCount,collapsedActionCount,nextAction,reason,commandHint,executableCommands,envKeys
1,NO_GO_STRICT,false,8,release-infra,RUN_NOW,CONTENT_BLOCKED,21,"p0-docker-release-infra;p0-runtime-readiness-release-infra",p3-orchestrator-release-infra,,10,0,Regenerate runtime readiness against an HTTPS non-local production-equivalent backend URL so the artifact includes structured `productionEquivalence` evidence.,strictGate=runtime-readiness-summary runtime readiness productionEquivalence.strict must be true for strict release evidence,Regenerate runtime readiness against an HTTPS non-local production-equivalent backend URL so the artifact includes structured `productionEquivalence` evidence.,"node bin/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_LIST_BATCHES=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_CHECK_ENV_ONLY=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_DRY_RUN=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=release-infra DDD_RELEASE_PRIORITY=P0 bash artifacts/ddd/release/release-execution-commands.sh","BASE_URL;DEPLOY_CHECK_BASE_URL;LUMIRA_BASE_URL"
2,NO_GO_STRICT,false,8,release-performance,RUN_NOW,CONTENT_BLOCKED,13,p0-authenticated-performance-release-performance,,,9,0,"Regenerate authenticated performance actual against an HTTPS non-local production-equivalent backend URL, then rerun baseline comparison or promotion.",strictGate=authenticated-performance-shape authenticated performance actual productionEquivalence.strict must be true for strict release evidence,"Regenerate authenticated performance actual against an HTTPS non-local production-equivalent backend URL, then rerun baseline comparison or promotion.","node bin/ddd-authenticated-performance-smoke.mjs;node bin/ddd-promote-performance-baseline.mjs;DDD_RELEASE_OWNER=release-performance DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_LIST_BATCHES=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=release-performance DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_CHECK_ENV_ONLY=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=release-performance DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_DRY_RUN=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=release-performance DDD_RELEASE_PRIORITY=P0 bash artifacts/ddd/release/release-execution-commands.sh",
3,NO_GO_STRICT,false,8,lumira-ui,RUN_NOW,ARTIFACT_MISSING,2,p0-manifest-lumira-ui,,"artifacts/ddd/lumira-ui/frontend-smoke.json;artifacts/ddd/lumira-ui/lumira-ui-static-evidence.json",3,0,"Run deployed frontend smoke with HTTPS `PLAYWRIGHT_BASE_URL`, `DDD_FRONTEND_EXPECT_DEPLOYED=true`, `DDD_EVIDENCE_ENVIRONMENT`, `DDD_RELEASE_CANDIDATE`, and `DDD_EVIDENCE_OPERATOR`; then convert it with `node bin/ddd-frontend-smoke-evidence.mjs`.",strictGate=release-evidence-manifest missing artifact lumira-ui/frontend-smoke.json,"Run deployed frontend smoke with HTTPS `PLAYWRIGHT_BASE_URL`, `DDD_FRONTEND_EXPECT_DEPLOYED=true`, `DDD_EVIDENCE_ENVIRONMENT`, `DDD_RELEASE_CANDIDATE`, and `DDD_EVIDENCE_OPERATOR`; then convert it with `node bin/ddd-frontend-smoke-evidence.mjs`.","DDD_RELEASE_MANIFEST_CHECK_ENV=true node bin/ddd-release-evidence-manifest.mjs;node bin/ddd-promote-performance-baseline.mjs;DDD_RELEASE_MANIFEST_STRICT=true DDD_RELEASE_MANIFEST_EXIT_ON_BLOCKERS=false node bin/ddd-release-evidence-manifest.mjs;node bin/ddd-frontend-smoke-evidence.mjs;DDD_RELEASE_OWNER=lumira-ui DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_LIST_BATCHES=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=lumira-ui DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_CHECK_ENV_ONLY=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=lumira-ui DDD_RELEASE_PRIORITY=P0 DDD_RELEASE_DRY_RUN=1 bash artifacts/ddd/release/release-execution-commands.sh;DDD_RELEASE_OWNER=lumira-ui DDD_RELEASE_PRIORITY=P0 bash artifacts/ddd/release/release-execution-commands.sh","DDD_EVIDENCE_ENVIRONMENT;DDD_FRONTEND_EXPECT_DEPLOYED;DDD_RELEASE_CANDIDATE;PLAYWRIGHT_BASE_URL"
4,NO_GO_STRICT,false,8,release-owner,WAIT_FOR_DEPENDENCIES,CONTENT_BLOCKED,58,,p3-orchestrator-release-owner,,1,0,Inspect the strict release gate blocker and attach an owner-specific remediation.,"strictGate=physical-split-readiness IAM module must be services/lumira-system, got services/system-service",Inspect the strict release gate blocker and attach an owner-specific remediation.,node bin/ddd-release-evidence-orchestrator.mjs,DDD_RELEASE_EVIDENCE_STRICT
5,NO_GO_STRICT,false,8,database,WAIT_FOR_DEPENDENCIES,ARTIFACT_MISSING,22,,"p2-explain-database;p3-orchestrator-database",tmp/ddd-explain/*.json,3,0,"Run fresh database and old database upgrade Flyway drills, then regenerate migration evidence with fresh/upgrade flags.","strictGate=migration-evidence-freshness generatedAt is 69.4h old; limit=24h","Run fresh database and old database upgrade Flyway drills, then regenerate migration evidence with fresh/upgrade flags.","DDD_MIGRATION_CHECK_ENV=true node bin/ddd-migration-evidence.mjs;node bin/ddd-migration-evidence.mjs;node bin/ddd-release-evidence-orchestrator.mjs","DDD_EVIDENCE_OPERATOR;DDD_MIGRATION_COMPLETED_AT;DDD_MIGRATION_ENVIRONMENT;DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_HANDOFF_FILE;DDD_MIGRATION_OPERATOR;DDD_MIGRATION_UPGRADE_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_VALIDATED;DDD_RELEASE_CANDIDATE"
6,NO_GO_STRICT,false,8,ai,WAIT_FOR_DEPENDENCIES,CONTENT_BLOCKED,10,,p1-ai-runtime-ai,,3,1,Run `DDD_AI_EXPECT_PROVIDER_REMOTE=true DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE=true node bin/ddd-ai-runtime-drill.mjs` against production-equivalent AI runtime.,strictGate=ai-runtime-drill AI runtime productionEquivalence.strict must be true for strict release evidence,Run `DDD_AI_EXPECT_PROVIDER_REMOTE=true DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE=true node bin/ddd-ai-runtime-drill.mjs` against production-equivalent AI runtime.,DDD_AI_EXPECT_PROVIDER_REMOTE=true DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE=true node bin/ddd-ai-runtime-drill.mjs,"DDD_AI_EXPECT_OWNER_GATEWAY_REMOTE;LUMIRA_AI_OWNER_FILE_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL"
7,NO_GO_STRICT,false,8,file-owner,WAIT_FOR_DEPENDENCIES,CONTENT_BLOCKED,7,,"p1-business-e2e-file-owner;p1-rollback-file-owner",,2,0,Regenerate File processing E2E evidence within the release freshness window against the production-equivalent environment.,"strictGate=file-processing-freshness finishedAt is 143.5h old; limit=24h",Regenerate File processing E2E evidence within the release freshness window against the production-equivalent environment.,node bin/ddd-file-processing-e2e-smoke.mjs,"BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DEPLOY_CHECK_BASE_URL;LUMIRA_BASE_URL;LUMIRA_JOB_INTERNAL_TOKEN;LUMIRA_UPLOAD_STORAGE_ROOT"
8,NO_GO_STRICT,false,8,job-owner,WAIT_FOR_DEPENDENCIES,CONTENT_BLOCKED,7,,"p1-business-e2e-job-owner;p1-rollback-job-owner",,2,0,Regenerate Job E2E evidence within the release freshness window against the production-equivalent environment.,"strictGate=job-e2e-freshness checkedAt is 143.1h old; limit=24h",Regenerate Job E2E evidence within the release freshness window against the production-equivalent environment.,node bin/ddd-job-e2e-smoke.mjs,"BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;DEPLOY_CHECK_BASE_URL;LUMIRA_BASE_URL;LUMIRA_JOB_INTERNAL_TOKEN"
9,NO_GO_STRICT,false,8,payment-owner,WAIT_FOR_DEPENDENCIES,CONTENT_BLOCKED,7,,"p1-business-e2e-payment-owner;p1-rollback-payment-owner",,2,0,Regenerate Payment webhook E2E evidence within the release freshness window against the production-equivalent environment.,"strictGate=payment-webhook-freshness finishedAt is 143.3h old; limit=24h",Regenerate Payment webhook E2E evidence within the release freshness window against the production-equivalent environment.,node bin/ddd-payment-webhook-e2e-smoke.mjs,"LUMIRA_BASE_URL;PAYMENT_PUBLIC_BASE_URL"
10,NO_GO_STRICT,false,8,ai-owner,WAIT_FOR_DEPENDENCIES,CONTENT_BLOCKED,0,,p1-rollback-ai-owner,,1,0,"Exercise AI provider disablement, knowledge index job pause, and document index rebuild/degraded chat transcript evidence. Required evidence: AI provider disablement or fallback configuration evidence; knowledge index job pause/resume command or job output; document index rebuild or retry evidence; degraded chat/search transcript after rollback. If the drill is not safely exercisable, generate a reviewed deferral input with `node bin/ddd-rollback-deferral-template.mjs`, fill real approval evidence, then run `node bin/ddd-rollback-drill-evidence.mjs`.",rollback:AI AI rollback drill is DEFERRED with approved deferral evidence,"Exercise AI provider disablement, knowledge index job pause, and document index rebuild/degraded chat transcript evidence. Required evidence: AI provider disablement or fallback configuration evidence; knowledge index job pause/resume command or job output; document index rebuild or retry evidence; degraded chat/search transcript after rollback. If the drill is not safely exercisable, generate a reviewed deferral input with `node bin/ddd-rollback-deferral-template.mjs`, fill real approval evidence, then run `node bin/ddd-rollback-drill-evidence.mjs`.","node bin/ddd-rollback-deferral-template.mjs;node bin/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT"
